format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00369,Male,44,173,71,12345,12345,12345,12345,12345,12345,1513662324259
10,372,172286,172288,172290,172299,172298,172308,172308,172317,172321,172321,172330,172330,1513662325704
10,384,172336,172339,172343,172345,172354,172361,172370,172372,172377,172380,172381,172386,1513662325705
10,396,172393,172399,172408,172406,172416,172422,172430,172437,172439,172441,172447,172453,1513662325707
5,372,-218087,-215972,-217676,-221584,-224659,-227108,-227348,-223742,-219971,-216505,-215736,-219317,1513662325731
5,384,-224577,-226636,-226656,-224894,-222351,-221552,-218720,-217207,-220776,-225338,-225894,-225152,1513662325731
5,396,-221958,-219090,-218039,-217698,-217632,-221478,-225265,-226096,-224633,-220935,-217559,-214548,1513662325732
5,408,-216639,-220486,-223612,-224274,-224080,-221827,-220060,-217579,-214971,-217094,-221971,-225146,1513662325732
9,384,155058,155064,155075,155084,155093,155100,155109,155115,155125,155136,155140,155152,1513662325759
9,396,155160,155169,155179,155190,155200,155207,155215,155222,155232,155241,155250,155252,1513662325759
9,408,155259,155260,155269,155275,155278,155283,155286,155285,155285,155288,155279,155269,1513662325760
9,420,155266,155261,155246,155229,155212,155197,155181,155161,155141,155115,155087,155061,1513662325760
10,408,172454,172453,172456,172463,172460,172467,172468,172468,172468,172470,172466,172464,1513662325792
10,420,172460,172458,172448,172442,172430,172419,172411,172396,172388,172372,172363,172348,1513662325793
10,432,172330,172315,172296,172281,172261,172243,172216,172198,172172,172149,172126,172100,1513662325794
5,420,-224395,-224655,-221440,-217136,-215272,-215816,-219900,-224432,-223647,-222217,-221780,-219011,1513662325824
5,432,-214541,-213573,-215446,-220984,-224474,-224093,-222916,-220614,-217261,-213113,-212560,-216879,1513662325824
5,444,-221983,-224492,-223342,-221178,-219659,-217133,-213858,-214814,-219912,-224952,-226106,-224850,1513662325825
5,456,-220514,-217661,-215169,-215395,-218328,-222034,-224726,-225939,-224147,-221095,-217002,-213578,1513662325825
9,432,155027,154993,154957,154922,154883,154844,154798,154758,154710,154668,154622,154575,1513662325865
9,444,154529,154477,154427,154378,154328,154280,154231,154182,154129,154079,154028,153979,1513662325866
9,456,153932,153885,153842,153796,153754,153712,153664,153625,153589,153552,153514,153481,1513662325867
9,468,153442,153408,153378,153345,153317,153289,153259,153232,153212,153189,153164,153141,1513662325867
10,444,172073,172051,172027,172002,171973,171946,171922,171897,171869,171842,171817,171788,1513662325894
10,456,171762,171741,171720,171691,171666,171645,171624,171599,171577,171562,171543,171522,1513662325895
10,468,171503,171484,171463,171450,171433,171419,171409,171392,171379,171368,171358,171347,1513662325895
10,480,171336,171326,171318,171312,171301,171290,171287,171280,171275,171274,171268,171257,1513662325896
10,492,171256,171252,171252,171253,171253,171250,171250,171245,171244,171241,171237,171238,1513662325897
5,468,-216567,-220843,-223741,-224911,-223901,-220531,-218879,-216402,-215190,-218723,-223767,-226476,1513662325926
5,480,-225580,-223176,-220875,-218153,-215597,-216267,-219498,-223917,-225512,-224847,-220412,-219480,1513662325927
5,492,-217895,-216075,-218785,-223562,-226571,-225712,-221990,-218515,-217529,-215925,-215510,-219872,1513662325928
5,504,-224176,-225271,-224865,-221130,-218028,-216390,-215614,-217404,-222313,-224539,-224065,-224155,1513662325928
9,480,153124,153104,153086,153071,153053,153037,153026,153013,153001,152993,152982,152973,1513662325964
9,492,152964,152955,152952,152948,152950,152943,152941,152935,152928,152929,152930,152926,1513662325965
9,504,152925,152928,152926,152930,152933,152933,152934,152937,152940,152941,152944,152949,1513662325965
9,516,152952,152956,152963,152965,152966,152971,152977,152984,152991,153005,153009,153014,1513662325965
10,504,171239,171236,171238,171241,171243,171242,171240,171238,171245,171243,171243,171245,1513662325985
10,516,171246,171253,171256,171258,171257,171257,171259,171262,171267,171272,171281,171274,1513662325985
10,528,171280,171285,171291,171299,171302,171307,171317,171320,171324,171330,171337,171340,1513662325986
10,540,171346,171355,171357,171359,171367,171377,171386,171389,171393,171400,171404,171408,1513662325986
5,516,-221553,-218507,-214687,-214767,-219308,-225196,-226440,-224787,-222294,-219174,-216140,-213797,1513662326051
5,528,-215567,-221119,-224228,-224586,-224082,-219651,-217281,-214741,-214656,-218847,-224593,-225024,1513662326052
5,540,-224712,-222186,-219290,-217146,-214590,-217443,-222378,-225492,-224015,-222074,-220182,-218824,1513662326053
5,552,-215820,-214406,-219893,-224911,-225461,-225638,-222570,-219265,-216832,-214442,-216526,-221174,1513662326053
9,528,153024,153033,153043,153051,153062,153068,153074,153084,153094,153102,153111,153121,1513662326054
9,540,153134,153143,153152,153164,153178,153189,153205,153215,153224,153240,153247,153259,1513662326055
9,552,153270,153281,153298,153312,153323,153333,153350,153365,153378,153392,153404,153417,1513662326056
