format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00872,Female,36,160,66,12345,12345,12345,12345,12345,12345,1512442559186
5,588,-45736,-44126,-42551,-42820,-45114,-48760,-49562,-48538,-46271,-45128,-43511,-41849,1512442561046
5,600,-44084,-48117,-50006,-49152,-48499,-45415,-44471,-42557,-41981,-44780,-49732,-50956,1512442561047
9,588,149366,149367,149373,149381,149385,149387,149391,149398,149406,149415,149421,149428,1512442561079
9,600,149437,149443,149453,149462,149470,149479,149487,149497,149509,149520,149528,149538,1512442561080
9,612,149550,149561,149573,149584,149599,149609,149620,149634,149644,149658,149673,149686,1512442561080
9,624,149696,149709,149720,149732,149748,149758,149773,149788,149802,149815,149831,149846,1512442561080
10,600,174754,174760,174765,174772,174777,174780,174781,174790,174792,174799,174805,174813,1512442561090
10,612,174821,174825,174831,174837,174841,174851,174856,174865,174871,174875,174881,174887,1512442561091
10,624,174895,174902,174910,174917,174923,174929,174938,174946,174955,174961,174970,174977,1512442561091
10,636,174984,174993,175003,175012,175021,175023,175036,175041,175046,175060,175066,175069,1512442561091
5,612,-49440,-48216,-46565,-44352,-42098,-43308,-47305,-50606,-49967,-48258,-46651,-44924,1512442561121
5,624,-42950,-41903,-44860,-49112,-50959,-50279,-48093,-45504,-43334,-42274,-43140,-47026,1512442561122
5,636,-50640,-50553,-48892,-46638,-44530,-43192,-43321,-45387,-49650,-51331,-49915,-48168,1512442561123
5,648,-46582,-45310,-43309,-43525,-46749,-50361,-50648,-48418,-46645,-45695,-43702,-41807,1512442561124
9,636,149860,149872,149884,149898,149909,149924,149941,149955,149972,149979,149995,150008,1512442561149
9,648,150019,150033,150050,150062,150073,150086,150099,150109,150124,150138,150150,150166,1512442561150
9,660,150178,150189,150203,150214,150230,150243,150258,150269,150280,150292,150306,150322,1512442561150
9,672,150336,150351,150361,150375,150386,150399,150412,150428,150433,150445,150458,150471,1512442561150
10,648,175075,175087,175092,175094,175101,175111,175118,175125,175132,175138,175145,175151,1512442561181
10,660,175159,175167,175175,175180,175187,175199,175203,175212,175218,175223,175231,175244,1512442561181
10,672,175249,175254,175265,175272,175280,175287,175294,175302,175310,175312,175318,175328,1512442561182
10,684,175334,175342,175348,175355,175358,175365,175371,175377,175383,175387,175393,175398,1512442561182
5,660,-44102,-48328,-50553,-49777,-48029,-45969,-44240,-42828,-43514,-46372,-50313,-50159,1512442561230
5,672,-48717,-46375,-44042,-42743,-42492,-45085,-48859,-50924,-50068,-48298,-45646,-43725,1512442561230
5,684,-42480,-43881,-47148,-49914,-50081,-48835,-47419,-46600,-44468,-43539,-45261,-48431,1512442561231
5,696,-52170,-51804,-49773,-46978,-45722,-43626,-44664,-47888,-51077,-51712,-50537,-49069,1512442561231
9,684,150482,150490,150500,150514,150529,150536,150546,150561,150572,150584,150594,150603,1512442561280
9,696,150613,150624,150634,150647,150661,150671,150685,150698,150707,150716,150725,150737,1512442561281
9,708,150750,150760,150771,150779,150788,150797,150809,150817,150826,150837,150845,150851,1512442561281
10,696,175402,175409,175417,175420,175424,175433,175436,175438,175444,175452,175462,175464,1512442561302
10,708,175469,175479,175483,175490,175491,175500,175503,175505,175507,175514,175520,175525,1512442561303
10,720,175531,175535,175542,175547,175546,175552,175559,175564,175567,175571,175580,175584,1512442561313
10,732,175588,175596,175606,175609,175616,175618,175622,175629,175634,175642,175647,175649,1512442561316
10,744,175651,175653,175663,175669,175677,175681,175684,175686,175690,175697,175700,175705,1512442561317
5,708,-47135,-45877,-44678,-46244,-49561,-51864,-51093,-49384,-47095,-45413,-43119,-43340,1512442561332
5,720,-46338,-50481,-51762,-51714,-50919,-48434,-46401,-44930,-46165,-50097,-52506,-51148,1512442561333
5,732,-50252,-48504,-46424,-44579,-43638,-46202,-50022,-49710,-47575,-45255,-41711,-39316,1512442561333
5,744,-36655,-38087,-41608,-44155,-42468,-40276,-39103,-38730,-37054,-37275,-42071,-47509,1512442561334
5,756,-49972,-49879,-48635,-46759,-45394,-44038,-45146,-48365,-51907,-51557,-49119,-47232,1512442561334
9,720,150859,150872,150880,150892,150903,150914,150923,150932,150935,150950,150960,150970,1512442561362
9,732,150978,150988,150997,151005,151013,151026,151031,151042,151049,151056,151065,151072,1512442561363
9,744,151084,151090,151098,151104,151112,151122,151133,151143,151148,151156,151165,151172,1512442561363
9,756,151179,151185,151192,151201,151208,151218,151227,151233,151237,151249,151256,151267,1512442561364
9,768,151272,151283,151291,151298,151310,151320,151326,151334,151335,151341,151350,151357,1512442561364
9,780,151362,151371,151379,151387,151392,151403,151411,151419,151427,151434,151443,151449,1512442561365
10,756,175706,175713,175715,175721,175727,175731,175731,175734,175743,175745,175744,175749,1512442561390
10,768,175756,175758,175761,175762,175766,175769,175774,175778,175783,175788,175795,175800,1512442561395
10,780,175807,175813,175817,175816,175825,175827,175828,175832,175836,175842,175847,175854,1512442561395
10,792,175855,175856,175864,175870,175874,175880,175886,175887,175887,175892,175900,175903,1512442561396
5,768,-46642,-45073,-44308,-46558,-50707,-51959,-51401,-49745,-47707,-45389,-42992,-44707,1512442561424
5,780,-48643,-51312,-50881,-49885,-48236,-47140,-45326,-44793,-47565,-50882,-52337,-51240,1512442561425
5,792,-50902,-48491,-46492,-44668,-46186,-49002,-51308,-50894,-49533,-47535,-46044,-45438,1512442561426
5,804,-45459,-47336,-51344,-53252,-51355,-48591,-47094,-46434,-43930,-44720,-48057,-51356,1512442561426
9,792,151456,151463,151470,151478,151493,151501,151510,151518,151527,151534,151545,151556,1512442561451
9,804,151564,151571,151581,151588,151594,151605,151612,151622,151631,151639,151650,151660,1512442561452
9,816,151673,151678,151690,151699,151706,151713,151721,151730,151741,151745,151754,151763,1512442561452
10,804,175911,175914,175917,175926,175930,175935,175943,175946,175951,175954,175960,175968,1512442561482
10,816,175973,175978,175980,175984,175994,175998,175998,176010,176012,176018,176021,176027,1512442561487
10,828,176032,176034,176039,176045,176049,176056,176055,176063,176066,176068,176075,176080,1512442561488
10,840,176086,176089,176100,176105,176110,176114,176120,176127,176133,176130,176138,176140,1512442561488
5,816,-52008,-51121,-49808,-47576,-45175,-44143,-46657,-50287,-52543,-51771,-49133,-47620,1512442561520
5,828,-45848,-43630,-45487,-49408,-53710,-53685,-50554,-48346,-46079,-44664,-44178,-45965,1512442561521
5,840,-49975,-51400,-50769,-50087,-47508,-46275,-44347,-44661,-47977,-52082,-51649,-50157,1512442561521
5,852,-47904,-45796,-44759,-43388,-44652,-49063,-51764,-50534,-48269,-46731,-45492,-43044,1512442561521
9,828,151775,151785,151793,151801,151810,151819,151832,151842,151853,151861,151873,151881,1512442561540
9,840,151891,151903,151913,151919,151931,151945,151951,151959,151966,151977,151986,151991,1512442561541
9,852,151996,152004,152007,152007,152006,152010,152008,152005,152007,152004,152000,151990,1512442561541
9,864,151986,151979,151965,151956,151941,151923,151905,151883,151862,151837,151810,151783,1512442561541
10,852,176139,176143,176149,176149,176153,176154,176158,176156,176155,176154,176147,176145,1512442561578
10,864,176136,176130,176124,176121,176112,176100,176095,176085,176075,176062,176051,176035,1512442561579
10,876,176022,176003,175986,175968,175944,175922,175896,175876,175854,175833,175808,175782,1512442561580
10,888,175757,175733,175704,175675,175647,175620,175593,175563,175534,175511,175481,175452,1512442561580
5,864,-43400,-46514,-50119,-49853,-49082,-46288,-44104,-43305,-42659,-43750,-47127,-50309,1512442561605
5,876,-49212,-47488,-45364,-44048,-41923,-41362,-43593,-47986,-49554,-47958,-44930,-43137,1512442561608
5,888,-41732,-39947,-41343,-45151,-48477,-48289,-46916,-44774,-43296,-41856,-41392,-44229,1512442561610
5,900,-48879,-50680,-49845,-47523,-45235,-43723,-42730,-44765,-48718,-51743,-51265,-50459,1512442561610
